competition_key,player_id,player_name,team_id,team_name,crest_url,goals,penalties,own_goals,penalty_shootout_scored,penalty_shootout_missed
22342662-21-22343988,1590450,"SANCHEZ MATEOS CAÑAS, GONZALO",466283,E.F.B. ALCAZAR DE SAN JUAN,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000094771_Escudo_Escuela_de_F_tbol.jpg,9,0,0,0,0
22342662-21-22343988,1821735,"SAEZ NAVARRO, PEDRO",1053425,C.D. BALOMPEDICA ALBACETE CABLE DESIGN,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000131133_LOGOTIPOS_BALOMPEDICA__TODAS_VERSIONES__09.jpg,9,0,0,0,0
22342662-21-22343988,2680536,"ESPINOSA MUÑOZ, ALVARO",34564,C.D. CIUDAD REAL FÚTBOL CLUB,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000202940_ESCUDO_CIUDAD_REAL_F_TBOL_CLUB.png,9,3,0,0,0
22227427-21-22229298,22345352,"BOUHAOUI RIFAI, ELIAS",403890,E.F.B. ALMANSA,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000174783_escudo.jpg,9,0,0,0,0
22320181-21-22395201,5362085,"CEA RUBIO, ALBERTO",2804926,HUESCA-S.D. ESCUELA DE FUTBOL,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000225155_EFH_Logo_66.png,9,0,0,0,0
22227427-21-22229298,22345715,"HERNANDEZ GARCIA, GUILLERMO",403890,E.F.B. ALMANSA,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000174783_escudo.jpg,9,0,0,0,0
23289323-21-23289329,735914,"YANES CABRERA, JOSE",205261,C.D. Tenerife,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/205259_50x50.png,9,0,0,0,0
22620062-21-23419532,90319922,"ARREGI AGIRRESAROBE, INHAR",29709,HERNANI C.D.,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0000105113_hernani_vec.png,9,0,0,0,0
23289293-21-23289294,23669245,"ARNAIZ DIAZ, JOSE MANUEL",206133,Granada CF,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/206133_50x50.png,9,0,0,0,0
22227427-21-22229298,22723004,"ILCHENKO, OLEKSANDR",2682065,C.D. CAZALEGAS - EBORA FORMACIÓN,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000094648_Escudo.JPG,9,1,0,0,0
22620318-21-22682895,74265,"OTXANDIANO ACEVEDO, JON",15128,"SESTAO RIVER ""B""",https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1384_grande.png,9,2,0,0,0
22320181-21-22395201,2435789,"ILLANA BURGASE, JULIAN JESUS",4496838,HUESCA-S.D.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000223477_huesca_sd.png,9,0,0,0,0
22620318-21-22682895,74620,"ALONSO CALVO, AITOR",14204,"UGERAGA ""A""",https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1152_grande.png,9,0,0,0,0
22320181-21-22395201,2365956,"VILLACAMPA BUISAN, RODRIGO",4496838,HUESCA-S.D.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000223477_huesca_sd.png,9,1,0,0,0
22342662-21-22343993,1015202,"BAKKALI EL GHAILANI, ANASS",63771,E.F. ODELOT TOLETUM,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000142318_escudo_odelot_jpg.jpg,9,0,0,0,0
22342662-21-22343993,1015690,"GUTIERREZ DEL PRISCO, GONZALO",34560,"C.D. TOLEDO, SAD",https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000064849_ESCUDO_CDT.jpg,9,0,0,0,0
22620060-21-23108612,90158113,"ASTIGARRAGA CARCEDO, PERU",5737,ELGOIBAR C.D.,https://www.gipuzkoafutbola.eus/pnfg/pimg/Equipos/00100_0010135639_CD_ELGOIBAR.JPG,9,0,0,0,0
23289295-21-23289296,1389959,"GOMEZ MARTIN, ALVARO",207432,Unionistas de Salamanca CF,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/207432_50x50.png,9,4,0,0,0
22620060-21-23108611,90978222,"SARRIEGI APEZETXEA, EÑAUT",6122,HERNANI C.D.,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0000105113_hernani_vec.png,9,0,0,0,0
23289295-21-23289296,21728823,"MARQUEZ CLIMENT, ENRIQUE",205349,Zamora CF,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/205349_50x50.png,9,1,0,0,0
22342662-21-22343993,1224083,"SANZ CABEZAS, JUAN ANTONIO",34559,C.D. GUADALAJARA,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000202744_1_Escudo_principal_contorno__SE_PONE_SOBRE_FONDO_BLANCO.png,9,0,0,0,0
22620318-21-22682895,77680,"PAREDES ESCOBAR, ANDRES FELIPE",14204,"UGERAGA ""A""",https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1152_grande.png,9,3,0,0,0
