ETAPA;PROVINCIA;competition_id,season_id,group_id,competition_name,competition_gender,country_name,season_name,match_updated,match_available,match_duration_minutes,competition_type,federacion,comunidad,compite_athletic,etapa
CADETE;GIPUZKOA;22620060,21,23108610,CADETE HONOR GUIPUZKOA G-2,,,2025-2026,,,80,Liga,gipuzkoafutbola,GIPUZKOA,False,CADETE
CADETE;GIPUZKOA;22620060,21,23108611,CADETE HONOR GUIPUZKOA G-3,,,2025-2026,,,80,Liga,gipuzkoafutbola,GIPUZKOA,False,CADETE
CADETE;GIPUZKOA;22620060,21,23108612,CADETE HONOR GUIPUZKOA G-4,,,2025-2026,,,80,Liga,gipuzkoafutbola,GIPUZKOA,False,CADETE
INFANTIL;GIPUZKOA;22620062,21,23419532,INFANTIL GIPUZKOA HANDI G-1,,,2025-2026,,,70,Liga,gipuzkoafutbola,GIPUZKOA,False,INFANTIL
INFANTIL;GIPUZKOA;22620062,21,23419550,INFANTIL GIPUZKOA HANDI G-2,,,2025-2026,,,70,Liga,gipuzkoafutbola,GIPUZKOA,False,INFANTIL
INFANTIL;GIPUZKOA;22620062,21,23419557,INFANTIL GIPUZKOA HANDI G-3,,,2025-2026,,,70,Liga,gipuzkoafutbola,GIPUZKOA,False,INFANTIL
INFANTIL;GIPUZKOA;22620062,21,23419592,INFANTIL GIPUZKOA HANDI G-4,,,2025-2026,,,70,Liga,gipuzkoafutbola,GIPUZKOA,False,INFANTIL
INFANTIL;GIPUZKOA;22620062,21,23419593,INFANTIL GIPUZKOA HANDI G-5,,,2025-2026,,,70,Liga,gipuzkoafutbola,GIPUZKOA,False,INFANTIL
INFANTIL;GIPUZKOA;22620110,21,23699397,INFANTIL GIPUZKOA HANDI  FASE DE CAPEONES G-1,,,2025-2026,,,70,Liga,gipuzkoafutbola,GIPUZKOA,False,INFANTIL
INFANTIL;GIPUZKOA;22620110,21,23699398,INFANTIL GIPUZKOA HANDI  FASE DE CAPEONES G-2,,,2025-2026,,,70,Liga,gipuzkoafutbola,GIPUZKOA,False,INFANTIL
JUVENIL;ARABA;22620265,21,22620266,JUVENIL HONOR REGIONAL ARABA,,,2025-2026,,,90,Liga,faf-aff,ARABA,False,JUVENIL
CADETE;ARABA;22620267,21,22620268,CADETE HONOR ALAVA,,,2025-2026,,,80,Liga,faf-aff,ARABA,False,CADETE
INFANTIL;BIZKAIA;22620312,21,22865876,INFANTIL HONOR BIZKAIA G-1,,,2025-2026,,,70,Liga,fvf-bff,BIZKAINA,False,INFANTIL
INFANTIL;BIZKAIA;22620312,21,23498869,INFANTIL HONOR BIZKAIA G-2,,,2025-2026,,,70,Liga,fvf-bff,BIZKAINA,False,INFANTIL
INFANTIL;BIZKAIA;22620312,21,23498871,INFANTIL HONOR BIZKAIA G-3,,,2025-2026,,,70,Liga,fvf-bff,BIZKAINA,False,INFANTIL
INFANTIL;BIZKAIA;22620312,21,23498920,INFANTIL HONOR BIZKAIA G-4,,,2025-2026,,,70,Liga,fvf-bff,BIZKAINA,False,INFANTIL
SENIOR;BIZKAIA;22620317,21,22682894,DIVISION HONOR REGIONAL BIZKAIA,,,2025-2026,,,90,Liga,fvf-bff,BIZKAINA,False,SENIOR
SENIOR;BIZKAIA;22620318,21,22682895,PREFERENTE REGIONAL BIZKAIA,,,2025-2026,,,90,Liga,fvf-bff,BIZKAINA,False,SENIOR
JUVENIL;BIZKAIA;22620322,21,22682900,JUVENIL HONOR BIZKAIA,,,2025-2026,,,90,Liga,fvf-bff,BIZKAINA,False,JUVENIL
JUVENIL;BIZKAIA;22620323,21,22620324,JUVENIL PREFERENTE BIZKAIA G-1,,,2025-2026,,,90,Liga,fvf-bff,BIZKAINA,False,JUVENIL
JUVENIL;BIZKAIA;22620323,21,22620325,JUVENIL PREFERENTE BIZKAIA G-1,,,2025-2026,,,90,Liga,fvf-bff,BIZKAINA,False,JUVENIL
CADETE;BIZKAIA;22620328,21,22682904,CADETE HONOR BIZKAIA,,,2025-2026,,,80,Liga,fvf-bff,BIZKAINA,True,CADETE
CADETE;FUERA;22693887,21,22693905,CADETE PROMESAS LIGA,,,2025-2026,,,80,Liga,baleares,BALEARES,False,CADETE
SENIOR;EUSKADI;22984063,21,22984287,COPA FEDERACIÓN,,,2025-2026,,,90,Copa,euskadifutbol,VASCA,False,SENIOR
JUVENIL;FUERA;23128064,21,23128070,JUVENIL PREFERENTE - SEGUNDA FASE Grupo 3 - Provincia Zaragoza,,,2025-2026,,,90,Liga,aragon,ARAGON,False,JUVENIL
SENIOR;BIZKAIA;23289291,21,23289292,PRIMERA DIVISION,,,2025-2026,,,90,Liga,rfef,NACIONAL,True,SENIOR
SENIOR;BIZKAIA;23289293,21,23289294,SEGUNDA DIVISION,,,2025-2026,,,90,Liga,rfef,NACIONAL,False,SENIOR
SENIOR;FUERA;23289295,21,23289296,PRIMERA REF G-1,,,2025-2026,,,90,Liga,rfef,NORTE / OESTE,False,SENIOR
SENIOR;BIZKAIA;23289295,21,23289297,PRIMERA REF G-2,,,2025-2026,,,90,Liga,rfef,SUR / ESTE,False,SENIOR
SENIOR;NACIONAL;"23289298,21,23289299,SEGUNDA REF G-1,,,2025-2026,,,90,Liga,rfef,""Galicia, Asturias, Cantabria y CyL"",False,SENIOR"
SENIOR;NACIONA�;"23289298,21,23289300,SEGUNDA REF G-2,,,2025-2026,,,90,Liga,rfef,""País Vasco, Navarra, La Rioja y Aragón"",True,SENIOR"
SENIOR;FUERA;"23289298,21,23289301,SEGUNDA REF G-3,,,2025-2026,,,90,Liga,rfef,""Cataluña, Baleares y Valencia"",False,SENIOR"
SENIOR;FUERA;23289298,21,23289302,SEGUNDA REF G-4,,,2025-2026,,,90,Liga,rfef,Andalucía y Murcia,False,SENIOR
SENIOR;FUERA;"23289298,21,23289303,SEGUNDA REF G-5,,,2025-2026,,,90,Liga,rfef,""Madrid, Canarias, C-LM y otros"",False,SENIOR"
JUVENIL;FUERA;"23289323,21,23289324,DIVSION HONOR JUVENIL NACIONAL G-1,,,2025-2026,,,90,Liga,rfef,""Asturias, Cantabria y Galicia."",False,JUVENIL"
JUVENIL;BIZKAIA;"23289323,21,23289325,DIVSION HONOR JUVENIL NACIONAL G-2,,,2025-2026,,,90,Liga,rfef,""Aragón, País Vasco, La Rioja y Navarra."",True,JUVENIL"
JUVENIL;FUERA;"23289323,21,23289326,DIVSION HONOR JUVENIL NACIONAL G-3,,,2025-2026,,,90,Liga,rfef,""Aragón, Islas Baleares y Cataluña."",False,JUVENIL"
JUVENIL;FUERA;"23289323,21,23289327,DIVSION HONOR JUVENIL NACIONAL G-4,,,2025-2026,,,90,Liga,rfef,""Andalucía, Ceuta y Melilla."",False,JUVENIL"
JUVENIL;FUERA;"23289323,21,23289328,DIVSION HONOR JUVENIL NACIONAL G-5,,,2025-2026,,,90,Liga,rfef,""Castilla y León, Comunidad de Madrid y Extremadura."",False,JUVENIL"
JUVENIL;FUERA;23289323,21,23289329,DIVSION HONOR JUVENIL NACIONAL G-6,,,2025-2026,,,90,Liga,rfef,Islas Canarias.,False,JUVENIL
JUVENIL;FUERA;"23289323,21,23289330,DIVSION HONOR JUVENIL NACIONAL G-7,,,2025-2026,,,90,Liga,rfef,""Castilla-La Mancha, Comunidad de Madrid, Comunidad Valenciana y Región de Murcia."",False,JUVENIL"
INFANTIL;BIZKAIA;23822157,21,23822158,INFANTIL HONOR BIZKAIA 2ª FASE G-1,,,2025-2026,,,70,Liga,fvf-bff,BIZKAINA,True,INFANTIL
INFANTIL;BIZKAIA;23822157,21,23822159,INFANTIL HONOR BIZKAIA 2ª FASE G-2,,,2025-2026,,,70,Liga,fvf-bff,BIZKAINA,False,INFANTIL
INFANTIL;BIZKAIA;23822157,21,23822160,INFANTIL HONOR BIZKAIA 2ª FASE G-3,,,2025-2026,,,70,Liga,fvf-bff,BIZKAINA,False,INFANTIL
SENIOR;FUERA;29509164,21,33327,TERCERA RFEF G-6,,,2025-2026,,,90,Liga,ffcv,ffcv,False,SENIOR
JUVENIL;FUERA;29509435,21,33327,LIGA NACIONAL JUVENIL Grupo 8,,,2025-2026,,,90,Liga,ffcv,ffcv,False,JUVENIL
JUVENIL;FUERA;29509446,21,33327,LLIGA AUTONÓMICA CADET,,,2025-2026,,,80,Liga,ffcv,ffcv,False,CADETE
