match_id,competition_key,match_date,kick_off,match_week,home_team_id,away_team_id,home_score,away_score,home_win,draw,home_loss,stadium_id,referee_id,match_status,home_goal_diff
9985185,22619991-21-22619992,2025-10-25,16:00:00,7,2686,6576,0,0,0,1,0,68,60,available,0
9985186,22619991-21-22619992,2025-10-26,12:30:00,7,10422,9592,2,6,0,0,1,4,61,available,-4
9985187,22619991-21-22619992,2025-10-26,12:30:00,7,29730,9501,1,7,0,0,1,1294,62,available,-6
9985193,22619991-21-22619992,2025-10-26,17:30:00,7,6791,10341,0,2,0,0,1,1898,63,available,-2
9985196,22619991-21-22619992,2025-11-08,11:00:00,8,9501,10422,3,1,1,0,0,3169,64,available,2
9985194,22619991-21-22619992,2025-11-08,11:30:00,8,6576,6791,0,1,0,0,1,1300,65,available,-1
9985202,22619991-21-22619992,2025-11-08,16:00:00,8,10341,4539,3,0,1,0,0,3155,66,available,3
9985199,22619991-21-22619992,2025-11-08,18:30:00,8,13129,5675,0,4,0,0,1,4260,67,available,-4
9985200,22619991-21-22619992,2025-11-08,19:00:00,8,4558,9652,5,0,1,0,0,4367,2,available,5
9985198,22619991-21-22619992,2025-11-08,19:30:00,8,5842,6652,0,2,0,0,1,1313,69,available,-2
9985197,22619991-21-22619992,2025-11-09,10:30:00,8,9576,29730,5,0,1,0,0,4218,70,available,5
9985183,22619991-21-22619992,2025-10-19,12:00:00,6,4558,4539,11,1,1,0,0,4367,51,available,10
9985195,22619991-21-22619992,2025-11-09,11:00:00,8,9592,2686,1,0,1,0,0,4269,71,available,1
9985201,22619991-21-22619992,2025-11-09,12:00:00,8,6087,12972,5,0,1,0,0,22715282,72,available,5
9985210,22619991-21-22619992,2025-11-15,10:45:00,9,12972,10341,1,2,0,0,1,3159,73,available,-1
9985211,22619991-21-22619992,2025-11-15,12:00:00,9,6791,4539,2,1,1,0,0,1898,74,available,1
9985207,22619991-21-22619992,2025-11-15,12:10:00,9,6652,13129,2,1,1,0,0,1285,75,available,1
9985206,22619991-21-22619992,2025-11-15,12:30:00,9,29730,5842,2,3,0,0,1,1294,76,available,-1
9985208,22619991-21-22619992,2025-11-15,12:30:00,9,5675,4558,1,5,0,0,1,1964,77,available,-4
9985209,22619991-21-22619992,2025-11-15,13:00:00,9,9652,6087,2,3,0,0,1,3169,3,available,-1
9985205,22619991-21-22619992,2025-11-15,18:00:00,9,10422,9576,1,2,0,0,1,4,79,available,-1
9985203,22619991-21-22619992,2025-11-15,18:30:00,9,6576,9592,0,1,0,0,1,1300,80,available,-1
9985204,22619991-21-22619992,2025-11-16,11:00:00,9,2686,9501,1,3,0,0,1,68,81,available,-2
9985213,22619991-21-22619992,2025-11-22,11:00:00,10,9501,6576,4,1,1,0,0,3169,30,available,3
9985220,22619991-21-22619992,2025-11-22,11:30:00,10,4539,12972,2,4,0,0,1,70,83,available,-2
9985212,22619991-21-22619992,2025-11-22,15:30:00,10,9592,6791,0,1,0,0,1,4269,84,available,-1
9985215,22619991-21-22619992,2025-11-22,15:30:00,10,5842,10422,2,2,0,1,0,1313,85,available,0
9985214,22619991-21-22619992,2025-11-23,10:30:00,10,9576,2686,2,2,0,1,0,4218,42,available,0
9985217,22619991-21-22619992,2025-11-23,12:00:00,10,4558,6652,3,0,1,0,0,4853,67,available,3
