stadium_id,stadium_name,city,field_type,country_name
275598167,Anexo Francisco Peraza,San Cristóbal De La Laguna,Hierba Artificial,
775205280,Alfonso Silva,Las Palmas de Gran Canaria,Hierba Artificial,
883461778,Campo de Fútbol Barranco Hondo,Candelaria,,
673051980,Anexo Estadio Gran Canaria,Las Palmas de Gran Canaria,Hierba Artificial,
198313378,Complejo Deportivo Municipal Manuel Pablo,Arucas,Hierba Artificial,
332602595,Estadio Ivan Ramallo,Realejos (Los),Hierba Natural,
438105905,CAMPO FUTBOL DE LA OLIVA BASILIO FUENTES REYES,Oliva (La),Hierba Artificial,
814577536,Los Olivos,Santa Brígida,Hierba Natural,
298181418,Campo 2 Ciudad Deportiva de Tenerife Javier Pérez,Santa Cruz de Tenerife,Hierba Natural,
329926219,Anexo Antonio Dominguez,Adeje,Hierba Artificial,
176100067,Campo Municipal Yaiza,Yaiza,Hierba Artificial,
80202916,Estadio Silvestre Carrillo,Santa Cruz De La Palma,Hierba Artificial,
233347648,Campo 3 Ciudad Deportiva de Tenerife Javier Pérez,Santa Cruz de Tenerife,Hierba Artificial,
70502984,Estadio Municipal Los Principes,Realejos (Los),Hierba Artificial,
200741994,Municipal Las Delicias,Realejos (Los),Hierba Artificial,
948666187,Antonio Yeoward,Realejos (Los),Hierba Artificial,
27686517,Estadi Montilivi,Girona,Hierba Natural,
533286766,Campo 4 Ciudad Deportiva de Tenerife Javier Pérez,Santa Cruz de Tenerife,Hierba Artificial,
431515939,Campo de fútbol Barranco Grande,Santa Cruz de Tenerife,Hierba Artificial,
783192631,Campo de Fútbol Manuel Polinario,Puente Genil,Hierba Artificial,
579956221,Estadio Francisco Muñoz Pérez,Estepona,Hierba Artificial,
93765127,Anexo Estadio de los Juegos Mediterraneos,Almería,Hierba Natural,
843553479,Estadio Álvarez Claro,Melilla,Hierba Natural,
102475081,Estadio El Rubial,Águilas,,
978584753,Francisco de la Hera,Almendralejo,Hierba Natural,
961967422,Francisco Artés Carrasco,Lorca,Hierba Natural,
296743480,Estadio Municipal de Lebrija,Lebrija,Hierba Artificial,
412715442,Estadio Municipal de Chapín,Jerez De La Frontera,Hierba Natural,
891712115,Estadio Municipal Ángel Celdrán,Cartagena,Hierba Artificial,
180959398,Estadio Juan Cayuela,Totana,Hierba Natural,
211452789,Campo Municipal de La Constitución,Yecla,Hierba Natural,
983144323,Estadio Municipal de Linarejos,Linares,Hierba Natural,
473480067,Estadio Nuevo Colombino,Huelva,Hierba Natural,
623317282,Estadio Municipal de la Victoria,Jaén,,
535408075,Estadio de La Condomina,Murcia,Hierba Natural,
