team_id,team_name,team_gender,crest_url,country_name
13673,"INDARTSU ""A""",,https://www.fvf-bff.eus/pnfg/pimg/Clubes/00100_0009920691_Escudo_Indartsu_2017__1_.png,
30056,"PORTUGALETE, C.",,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1003_grande.png,
10381,"ABETXUKO, A.D.C. ""A""",,https://www.faf-aff.eus/pnfg/pimg/Clubes/00100_0009920549_abetxuko.png,
6576,KOSTKAS C.D.,,https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFGF/2028.png,
6922,BETI ONA C.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2065.jpg,
13687,"RETUERTO ""A""",,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1061_grande.png,
3158,"REKABERRI, C.D.",,https://www.faf-aff.eus/pnfg/pimg/Clubes/00100_0009928552_REKABERRI.png,
10422,"ARIZNABARRA ""A""",,https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFAF/6.jpg,
12825,"SANTUTXU ""B""",,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1011_grande.png,
13927,"ABADIÑO ""A""",,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1093_grande.png,
9501,SANTUTXU F.C.,,https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFVF/1011_grande.png,
6830,OIARTZUN K.E.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2054.JPG,
8125,SAN MARCIAL C.D.,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2048.jpg,
5693,REAL UNION CLUB SAD,,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2003.jpg,
6696,HONDARRIBIA F.E,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010121884_Escudo_Hondarribi_PDF_1.png,
5926,TOURING KE,,https://www.gipuzkoafutbola.eus/pnfg/pimg/Clubes/00100_0010135784_ezkutua.jpg,
9582,"INDAUTXU ""A""",,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1037_grande.png,
6652,ANTIGUOKO KIROL ELKARTEA,,https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFGF/2030.jpg,
1771147,LEIOA,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1034_grande.png,
13689,RETUERTO,,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1061_grande.png,
